user_loc,zip,state,high_county_T1,treated_T1,urban,two_weeks_cases,majority_gop
4001,85925,AZ,0,0,1,0,0
4001,85924,AZ,0,0,0,21,0
4001,85936,AZ,0,0,1,14,0
4001,85940,AZ,0,0,0,0,0
4001,86505,AZ,0,0,0,11,0
4001,86502,AZ,0,1,0,27,0
4003,85602,AZ,0,0,1,131,1
4003,85613,AZ,0,0,1,29,1
4003,85605,AZ,0,1,0,1,1
4003,85620,AZ,0,0,0,11,1
4003,85626,AZ,0,0,1,24,1
4003,85625,AZ,0,0,0,1,1
4003,85615,AZ,0,0,1,99,1
4003,85643,AZ,0,0,1,185,1
4003,85635,AZ,0,1,1,88,1
4003,85638,AZ,0,0,0,14,1
4003,85607,AZ,0,0,1,138,1
4003,85630,AZ,0,1,0,10,1
4003,85650,AZ,0,0,1,106,1
4005,86040,AZ,1,0,1,142,0
4005,86017,AZ,1,1,0,9,0
4005,86018,AZ,1,1,0,4,0
4005,86046,AZ,1,1,1,76,0
4005,86004,AZ,1,1,1,745,0
4005,86015,AZ,1,1,0,15,0
4005,86023,AZ,1,1,0,0,0
4005,86024,AZ,1,0,0,5,0
4005,86022,AZ,1,1,0,30,0
4007,85501,AZ,0,0,1,223,1
4007,85539,AZ,0,0,1,0,1
4007,85553,AZ,0,1,0,16,1
4007,85544,AZ,0,0,0,5,1
4007,85541,AZ,0,1,1,242,1
4009,85552,AZ,1,1,1,0,1
4009,85550,AZ,1,1,1,127,1
4009,85543,AZ,1,1,1,107,1
4009,85546,AZ,1,0,1,83,1
4011,85533,AZ,1,1,1,15,1
4011,85540,AZ,1,1,1,0,1
4012,85348,AZ,1,0,0,33,1
4012,85346,AZ,1,1,1,62,1
4012,85344,AZ,1,1,1,392,1
4013,85003,AZ,0,0,1,81,0
4013,85004,AZ,0,0,1,67,0
4013,85006,AZ,0,0,1,0,0
4013,85007,AZ,0,1,1,55,0
4013,85008,AZ,0,1,1,824,0
4013,85009,AZ,0,0,1,820,0
4013,85013,AZ,0,0,1,661,0
4013,85014,AZ,0,0,1,187,0
4013,85015,AZ,0,0,1,470,0
4013,85016,AZ,0,0,1,551,0
4013,85017,AZ,0,0,1,605,0
4013,85018,AZ,0,1,1,235,0
4013,85019,AZ,0,1,1,1126,0
4013,85020,AZ,0,0,1,252,0
4013,85021,AZ,0,1,1,223,0
4013,85022,AZ,0,0,1,937,0
4013,85023,AZ,0,0,1,107,0
4013,85024,AZ,0,0,1,131,0
4013,85027,AZ,0,0,1,647,0
4013,85029,AZ,0,0,1,531,0
4013,85031,AZ,0,1,1,200,0
4013,85032,AZ,0,0,1,144,0
4013,85033,AZ,0,1,1,1127,0
4013,85034,AZ,0,0,1,292,0
4013,85037,AZ,0,0,1,446,0
4013,85041,AZ,0,0,1,0,0
4013,85043,AZ,0,1,1,509,0
4013,85044,AZ,0,0,1,700,0
4013,85045,AZ,0,0,1,87,0
4013,85048,AZ,0,1,1,235,0
4013,85050,AZ,0,1,1,174,0
4013,85051,AZ,0,0,1,1096,0
4013,85053,AZ,0,1,1,165,0
4013,85054,AZ,0,0,1,188,0
4013,85083,AZ,0,1,1,219,0
4013,85085,AZ,0,0,1,361,0
4013,85086,AZ,0,0,1,927,0
4013,85087,AZ,0,1,1,141,0
4013,85381,AZ,0,0,1,386,0
4013,85382,AZ,0,1,1,1098,0
4013,85383,AZ,0,0,1,426,0
4013,85387,AZ,0,0,1,0,0
4013,85388,AZ,0,1,1,414,0
4013,85390,AZ,0,0,1,28,0
4013,85392,AZ,0,0,1,107,0
4013,85396,AZ,0,0,1,0,0
4013,85259,AZ,0,0,1,294,0
4013,85142,AZ,0,0,1,157,0
4013,85264,AZ,0,0,0,26,0
4013,85266,AZ,0,0,1,108,0
4013,85268,AZ,0,0,1,174,0
4013,85281,AZ,0,1,1,2744,0
4013,85282,AZ,0,0,1,0,0
4013,85201,AZ,0,1,1,928,0
4013,85202,AZ,0,0,1,71,0
4013,85203,AZ,0,0,1,1494,0
4013,85204,AZ,0,0,1,1239,0
4013,85205,AZ,0,0,1,240,0
4013,85206,AZ,0,0,1,0,0
4013,85208,AZ,0,1,1,949,0
4013,85209,AZ,0,0,1,280,0
4013,85210,AZ,0,0,1,234,0
4013,85212,AZ,0,0,1,441,0
